"_id:string","acl:object","Description:string"
"52f3a0e1e4b0148c3c6c8337","","Menu 1 (araskin3i)"
"52ffd236e4b07b0d80136aaa","","Menu 2 (araskin3i)"
"5315fac0e4b013c661e41b81","","Main Menu"
"5320a677e4b07b0d8014a521","","Info Main Menu"
"5321c354e4b07b0d8014aae5","","Frontier Barbecue Catering"
"53509ab2e4b07b9b72c25715","","Breakfast Catering"
"53509ac3e4b07b9b72c25716","","Taco Truck"
"535eb75ee4b07b9b72c596e3","","Main Menu"
"53808f76e4b09f5c7d4a86b4","","2nd Menu"
"5359c1c4e4b07b9b72c496a6","","Pizza Menu"
